# Citizen Ledger — state budget — COMPLETE LAYER EXPORT
# Source dataset: Enacted state budgets, Budgetary-Legal basis (California Department of Finance, ebudget.ca.gov)
# Accounting basis: Enacted appropriations on California's Budgetary-Legal basis, with Department of Finance prior-year actuals on the identical basis where published
# Gate tier: GATED — reproduces the Department of Finance's own statewide total
# Units: billions of dollars
# Measured as: ENACTED APPROPRIATIONS ON CALIFORNIA'S BUDGETARY-LEGAL BASIS, WITH DEPARTMENT OF FINANCE PRIOR-YEAR ACTUALS ON THE IDENTICAL BASIS WHERE PUBLISHED · BILLIONS OF DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · GATED
# Data generated: 2026-07-24
# Exported: 2026-07-28
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A row with an empty department is the AGENCY total, not a department. Do not sum agency rows and department rows together.
# Actuals arrive about six and a half months after a year ends, so the newest years carry enacted figures only — those actual_* cells are empty, not zero.
fiscal_year,agency,department,department_code,enacted_general_fund_busd,enacted_special_funds_busd,enacted_bond_funds_busd,enacted_federal_funds_busd,actual_general_fund_busd,actual_special_funds_busd,actual_bond_funds_busd,actual_federal_funds_busd
2021-22,Health and Human Services,Department of State Hospitals,4440,2.59,0,0,0,,,,
2021-22,Health and Human Services,Community Services and Development,4700,0.025,0,0,1.609,,,,
2021-22,Health and Human Services,"Statewide Health Planning, Development",4140,0.804,0.113,0,0.004,,,,
2021-22,Health and Human Services,Department of Child Support Services,5175,0.344,0,0,0.553,,,,
2021-22,Health and Human Services,Department of Rehabilitation,5160,0.087,0,0,0.401,,,,
2021-22,Health and Human Services,Department of Aging,4170,0.293,0.007,0,0.171,,,,
2021-22,Health and Human Services,Children and Families Commission,4250,0,0.406,0,0,,,,
2021-22,Health and Human Services,Mental Hlth Svcs Ovrst and Acntblty Comm,4560,0,0.155,0,0.1,,,,
2021-22,Health and Human Services,"Health, Human Services Agency, Secy",0530,0.105,0.003,0,0.013,-0.008,0.002,0,0.013
2021-22,Health and Human Services,Department of Managed Health Care,4150,0,0.103,0,0,,,,
2021-22,Health and Human Services,Emergency Medical Services Authority,4120,0.06,0.005,0,0.005,,,,
2021-22,Health and Human Services,California Health Benefit Exchange,4800,0.02,0,0,0,,,,
2021-22,Health and Human Services,State Council-Developmental Disabilities,4100,0,0,0,0.008,,,,
2021-22,Health and Human Services,Commission on Aging,4180,0,0,0,0.001,,,,
2021-22,Health and Human Services,California Senior Legislature,4185,0,0,0,0,,,,
2021-22,Health and Human Services,State Independent Living Council,5170,0,0,0,0,,,,
2021-22,K thru 12 Education,,,65.529,0.134,1.515,20.172,80.458,-0.362,1.383,15.035
2021-22,K thru 12 Education,Department of Education,6100,57.481,0.103,0.003,18.364,70.713,0.1,0.003,15.009
2021-22,K thru 12 Education,Teachers Retirement System Contributions,6300,4.273,0,0,0,4.273,0,0,0
2021-22,K thru 12 Education,School Facilities Aid Program,6350,0.74,0,1.512,0,0.943,-0.487,1.38,0
2021-22,K thru 12 Education,Scholarshare Investment Board,0954,0.108,0,0,1.778,1.807,0,0,0
2021-22,K thru 12 Education,State Library,6120,0.613,0.001,0,0.03,0.003,0.001,0,0.026
2021-22,K thru 12 Education,Commission on Teacher Credentialing,6360,0.022,0.03,0,0,0.209,0.023,0,0
2021-22,K thru 12 Education,Summer School for the Arts,6255,0.001,0,0,0,0.001,0,0,0
2021-22,K thru 12 Education,Education Audit Appeals Panel,6125,0.001,0,0,0,0.001,0,0,0
2021-22,Labor and Workforce Development,,,0.93,0.856,0,35.197,1.579,0.93,0,34.633
2021-22,Labor and Workforce Development,Employment Development Department,7100,0.524,0.179,0,34.554,1.134,0.19,0,34.572
2021-22,Labor and Workforce Development,Department of Industrial Relations,7350,0.024,0.667,0,0.037,0.024,0.731,0,0.054
2021-22,Labor and Workforce Development,"Labor and Workforce Development, Secy",0559,0.002,0.001,0,0.6,0.003,0.001,0,0
2021-22,Labor and Workforce Development,California Workforce Development Board,7120,0.354,0.008,0,0.006,0.391,0.007,0,0.007
2021-22,Labor and Workforce Development,Public Employment Relations Board,7320,0.015,0,0,0,0.016,0,0,0
2021-22,Labor and Workforce Development,Agricultural Labor Relations Board,7300,0.01,0.001,0,0,0.01,0.001,0,0
2021-22,Higher Education,,,21.222,0.147,0.938,6.365,21.029,0.151,0.48,6.585
2021-22,Higher Education,University of California,6440,4.674,0.14,0,4.218,4.753,0.143,0,4.91
2021-22,Higher Education,Board of Governors of Community Colleges,6870,7.082,0.005,0.663,0.25,8.262,0.006,0.345,0.1
2021-22,Higher Education,California State University,6610,5.193,0.002,0,1.425,5.006,0.002,0,1.576
2021-22,Higher Education,Student Aid Commission,6980,3.128,0,0,0.472,2.248,0,0,0
2021-22,Higher Education,"CSU Health Benefits, Retired Annuitants",6645,0.41,0,0,0,0.356,0,0,0
2021-22,Higher Education,Institute for Regenerative Medicine,6445,0,0,0.267,0,0,0,0.127,0
2021-22,Higher Education,Hastings College of the Law,6600,0.026,0,0,0,0.031,0,0,0
2021-22,Transportation,,,4.975,15.688,0.203,6.691,0.713,14.875,4.707,4.854
2021-22,Transportation,Department of Transportation,2660,1.285,8.227,0.125,6.518,0.266,6.32,0.014,4.784
2021-22,Transportation,"Transportation, Secy",0521,2.88,0.542,0,0.15,0.006,0.321,0,0.049
2021-22,Transportation,Dept of the California Highway Patrol,2720,0.171,2.585,0,0.022,0.015,2.631,0,0.021
2021-22,Transportation,Department of Motor Vehicles,2740,0.362,1.285,0,0.001,0.206,1.263,0,0
2021-22,Transportation,State Transit Assistance,2640,0,0.947,0,0,0,1.021,0,0
2021-22,Transportation,High-Speed Rail Authority,2665,0,0.532,0.074,0,0,1.723,4.692,0
2021-22,Transportation,California Transportation Commission,2600,0,0.007,0.004,0,0,0.007,0.002,0
2021-22,Transportation,Board of Pilot Commissioners,2670,0,0.003,0,0,0,0.003,0,0
2021-22,Corrections and Rehabilitation,,,13.931,3.254,0,0.108,13.797,3.669,0,0.091
2021-22,Corrections and Rehabilitation,Corrections and Rehabilitation,5225,13.453,0,0,0.002,13.487,0.17,0,0.004
2021-22,Corrections and Rehabilitation,Board of State and Community Corrections,5227,0.349,0.162,0,0.106,0.245,0.02,0,0.024
2021-22,Corrections and Rehabilitation,Prison Industry Authority,5420,0,0,0,0,,,,
2021-22,Government Operations,,,12.159,0.212,0.008,3.275,19.244,-9.014,0.008,0.036
2021-22,Government Operations,Franchise Tax Board,7730,9.108,0.024,0,0,16.51,-9.142,0,0
2021-22,Government Operations,Department of Technology,7502,0.068,0,0,3.25,0.036,0,0,0.02
2021-22,Government Operations,Public Employees' Retirement System,7900,1.881,0,0,0,1.881,0,0,0
2021-22,Government Operations,Department of General Services,7760,0.518,0.037,0.008,0,0.32,0.023,0.008,0
2021-22,Government Operations,Department of Tax and Fee Administration,7600,0.404,0.07,0,0,0.372,0.05,0,0
2021-22,Government Operations,California Victim Compensation Board,7870,0.041,0.082,0,0.025,0.041,0.055,0,0.016
2021-22,Government Operations,"Government Operations, Secretary",0511,0.12,0,0,0,0.067,0,0,0
2021-22,Government Operations,Department of Human Resources,7501,0.014,0,0,0,0.013,0,0,0
2021-22,Government Operations,Office of Administrative Law,7910,0.003,0,0,0,0.003,0,0,0
2021-22,Government Operations,State Personnel Board,7503,0.003,0,0,0,0.002,0,0,0
2021-22,Government Operations,State Teachers' Retirement System,7920,0,0,0,0,,,,
2021-22,"Legislative, Judicial, and Executive",,,5.961,3.414,0.122,3.258,13.241,-3.027,0.306,2.388
2021-22,"Legislative, Judicial, and Executive",Judicial Branch,0250,2.877,1.784,0,0.047,2.859,1.547,0,0.044
2021-22,"Legislative, Judicial, and Executive","Governors Office of Bus, Econ Developm",0509,0.558,0.057,0,1.595,2.002,0.057,0,0
2021-22,"Legislative, Judicial, and Executive",Office of Emergency Services,0690,0.861,0.184,0.003,1.142,6.558,-5.643,0,1.976
2021-22,"Legislative, Judicial, and Executive",Office of Planning and Research,0650,0.085,0.426,0,0.366,0.109,0.004,0,0.283
2021-22,"Legislative, Judicial, and Executive",Department of Justice,0820,0.387,0.398,0,0.054,0.401,0.334,0,0.048
2021-22,"Legislative, Judicial, and Executive",Department of Insurance,0845,0.006,0.308,0,0,0.005,0.301,0,0
2021-22,"Legislative, Judicial, and Executive",Judges Retirement System Contributions,0390,0.279,0,0,0,0.286,0,0,0
2021-22,"Legislative, Judicial, and Executive",Health Facilities Financing Authority,0977,0,0.144,0.116,0,0.044,0.137,0.305,0
2021-22,"Legislative, Judicial, and Executive",Assembly,0120,0.208,0,0,0,0.208,0,0,0
2021-22,"Legislative, Judicial, and Executive",Secretary of State,0890,0.061,0.074,0,0.033,0.15,0.086,0,0.018
2021-22,"Legislative, Judicial, and Executive",School Finance Authority,0985,0.144,0,0.001,0.021,0.144,0,0.001,0.018
2021-22,"Legislative, Judicial, and Executive",Senate,0110,0.158,0,0,0,0.158,0,0,0
2021-22,"Legislative, Judicial, and Executive",State Controller,0840,0.085,0.012,0.001,0.002,0.087,0.012,0,0.001
2021-22,"Legislative, Judicial, and Executive",Legislative Counsel Bureau,0160,0.099,0,0,0,0.102,0,0,0
2021-22,"Legislative, Judicial, and Executive",Office of the Inspector General,0552,0.036,0,0,0,0.028,0,0,0
2021-22,"Legislative, Judicial, and Executive",State Board of Equalization,0860,0.031,0,0,0,0.027,0,0,0
2021-22,"Legislative, Judicial, and Executive",Office of Tax Appeals,0870,0.024,0,0,0,0.021,0,0,0
2021-22,"Legislative, Judicial, and Executive",Governors Office,0500,0.022,0,0,0,0.022,0,0,0
2021-22,"Legislative, Judicial, and Executive",State Treasurer,0950,0.014,0,0,0,0.012,0,0,0
2021-22,"Legislative, Judicial, and Executive",Citizens Redistricting Initiative,0911,0.013,0,0,0,0.008,0,0,0
2021-22,"Legislative, Judicial, and Executive",Tax Credit Allocation Committee,0968,0,0.012,0,0,0,0.009,0,0
2021-22,"Legislative, Judicial, and Executive",Gambling Control Commission,0855,0,0.008,0,0,0,0.007,0,0
2021-22,"Legislative, Judicial, and Executive",Commission on Judicial Performance,0280,0.007,0,0,0,0.006,0,0,0
2021-22,"Legislative, Judicial, and Executive",Debt Investment Advisory Commission,0956,0,0.004,0,0,0,0.003,0,0
2021-22,"Legislative, Judicial, and Executive",Office of the Lieutenant Governor,0750,0.003,0,0,0,0.002,0,0,0
2021-22,"Legislative, Judicial, and Executive",Debt Limit Allocation Committee,0959,0,0.002,0,0,0,0.002,0,0
2021-22,"Legislative, Judicial, and Executive",California ABLE Act Board,0981,0.001,0,0,0,0.001,0,0,0
2021-22,"Legislative, Judicial, and Executive","Alt Energy, Advanced Trans Fin Auth",0971,0,0.001,0,0,0,0,0,0
2021-22,"Legislative, Judicial, and Executive",Educational Facilities Authority,0989,0,0,0,0,0,0,0,0
2021-22,"Legislative, Judicial, and Executive",Joint Expenses,0130,0,0,0,0,0,0.117,0,0
2021-22,"Legislative, Judicial, and Executive",Legislators' Retirement Sys Contribution,0150,0,0,0,0,,,,
2021-22,"Legislative, Judicial, and Executive",Governors Portrait,0720,0,0,0,0,,,,
2021-22,"Legislative, Judicial, and Executive",State Lottery Commission,0850,0,0,0,0,,,,
2021-22,"Legislative, Judicial, and Executive",Transportation Financing Authority,0964,0,0,0,0,,,,
2021-22,"Legislative, Judicial, and Executive",Pollution Control Financing Authority,0974,0,0,0,0,0,0,0,0
2021-22,"Legislative, Judicial, and Executive",Urban Waterfront Restoration Fin Auth,0983,0,0,0,0,,,,
2021-22,"Legislative, Judicial, and Executive",CalSavers Retirement Savings Board,0984,0,0,0,0,,,,
2021-22,Natural Resources,,,7.41,1.563,0.905,0.565,7.356,1.628,0.749,0.253
2021-22,Natural Resources,"Department of Forestry, Fire Protection",3540,1.871,0.206,0,0.022,2.293,0.326,0.001,0.015
2021-22,Natural Resources,Department of Water Resources,3860,1.219,0.041,0.612,0.028,1.019,0.039,0.273,0.007
2021-22,Natural Resources,"Energy Resource Conservation,Dvlmt Comm",3360,1.301,0.407,0,0.006,0.218,0.341,0,0.004
2021-22,Natural Resources,"Department of Parks, Recreation",3790,0.879,0.341,0.065,0.104,1.38,0.336,0.067,0.104
2021-22,Natural Resources,Department of Fish and Wildlife,3600,0.328,0.287,0.055,0.092,0.242,0.231,0.079,0.083
2021-22,Natural Resources,State Lands Commission,3560,0.07,0.024,0,0.25,0.332,0.024,0,0
2021-22,Natural Resources,Wildlife Conservation Board,3640,0.083,0.003,0.084,0.035,0.074,0.002,0.092,0.018
2021-22,Natural Resources,"Natural Resources Agency, Secy",0540,0.11,0.017,0.02,0,0.119,0.02,0.17,0.001
2021-22,Natural Resources,California Conservation Corps,3340,0.078,0.054,0.005,0,0.085,0.059,0.002,0
2021-22,Natural Resources,Department of Conservation,3480,0.005,0.12,0.001,0.006,0.048,0.169,0.009,0.002
2021-22,Natural Resources,Coastal Commission,3720,0.064,0.004,0,0.003,0.03,0.003,0,0.003
2021-22,Natural Resources,State Coastal Conservancy,3760,0.014,0.008,0.032,0.011,0.106,0.008,0.032,0.011
2021-22,Natural Resources,Exposition Park,3100,0.033,0.01,0,0,0.033,0.009,0,0
2021-22,Natural Resources,Delta Stewardship Council,3885,0.019,0.001,0,0.003,0.018,0.001,0,0.001
2021-22,Natural Resources,Office of Energy Infrastructure Safety,3355,0,0.018,0,0,0,0.039,0,0
2021-22,Natural Resources,San Joaquin River Conservancy,3830,0.015,0.001,0.001,0,0.016,0.001,0.001,0
2021-22,Natural Resources,"San Gabriel,Lower LA River,Mtns Consvcy",3825,0,0,0.012,0,0.003,0,0.01,0
2021-22,Natural Resources,Tahoe Conservancy,3125,0,0.006,0.003,0.003,0.01,0.005,0.003,0.003
2021-22,Natural Resources,"SF Bay Conservation, Development Comm",3820,0.007,0.002,0,0,0.007,0.002,0,0
2021-22,Natural Resources,Santa Monica Mountains Conservancy,3810,0,0,0.008,0,0.021,0,0.002,0
2021-22,Natural Resources,Sierra Nevada Conservancy,3855,0,0.005,0.001,0.002,0.019,0.005,0.005,0.002
2021-22,Natural Resources,Special Resources Programs,3110,0,0.006,0,0,0,0.005,0,0
2021-22,Natural Resources,Native American Heritage Commission,3780,0.004,0.001,0,0,0.004,0.001,0,0
2021-22,Natural Resources,Sacramento-San Joaquin Delta Conservancy,3875,0.001,0,0.002,0.001,0.003,0,0,0
2021-22,Natural Resources,San Diego River Conservancy,3845,0,0,0.003,0,0.012,0,0.002,0
2021-22,Natural Resources,Coachella Valley Mountains Conservancy,3850,0,0,0.002,0,0.003,0,0.002,0
2021-22,Natural Resources,Baldwin Hills Conservancy,3835,0,0,0.002,0,0.001,0,0.002,0
2021-22,Natural Resources,Delta Protection Commission,3840,0,0.002,0,0,0,0.002,0,0
2021-22,Natural Resources,Environmental Protection Program,3210,0,0,0,0,,,,
2021-22,Natural Resources,Colorado River Board of California,3460,0,0,0,0,,,,
2021-22,"Business, Consumer Services, and Housing",,,2.889,1.185,1.22,4.019,1.272,1.836,0.998,5.056
2021-22,"Business, Consumer Services, and Housing","Dept of Housing, Community Development",2240,1.481,0.038,1.22,4.013,0.766,0.839,0.998,5.05
2021-22,"Business, Consumer Services, and Housing","Business, Consumer Svcs, Housing, Scty",0515,1.103,0.001,0,0,0.223,0.001,0,0
2021-22,"Business, Consumer Services, and Housing",Department of Consumer Affairs,1111,0.005,0.682,0,0,0.014,0.604,0,0
2021-22,"Business, Consumer Services, and Housing",Department of Cannabis Control,1115,0.13,0.164,0,0,0.095,0.119,0,0
2021-22,"Business, Consumer Services, and Housing",Dept Financial Protection and Innovation,1701,0.01,0.135,0,0,0.01,0.121,0,0
2021-22,"Business, Consumer Services, and Housing",Department of Alcoholic Beverage Control,2100,0,0.087,0,0,0.009,0.076,0,0
2021-22,"Business, Consumer Services, and Housing",Department of Real Estate,2320,0,0.056,0,0,0,0.056,0,0
2021-22,"Business, Consumer Services, and Housing","Department of Fair Employment, Housing",1700,0.042,0.001,0,0.006,0.043,0,0,0.006
2021-22,"Business, Consumer Services, and Housing",Horse Racing Board,1750,0,0.017,0,0,0,0.016,0,0
2021-22,"Business, Consumer Services, and Housing",California Privacy Protection Agency,1703,0.01,0,0,0,0.01,0,0,0
2021-22,"Business, Consumer Services, and Housing",Cannabis Control Appeals Panel,1045,0,0.003,0,0,0,0.002,0,0
2021-22,"Business, Consumer Services, and Housing",Alcoholic Beverage Control Appeals Board,2120,0,0.001,0,0,0,0.001,0,0
2021-22,"Business, Consumer Services, and Housing","Seismic Safety Commission, A. E. Alquist",1690,0,0,0,0,,,,
2021-22,Environmental Protection,,,2.996,4.357,0.017,1.37,2.056,4.147,0.016,1.164
2021-22,Environmental Protection,State Water Resources Control Board,3940,1.499,0.942,0.016,1.314,0.158,0.904,0.016,1.119
2021-22,Environmental Protection,Air Resources Board,3900,1.063,1.286,0.001,0.017,1.406,1.215,0,0.009
2021-22,Environmental Protection,Resources Recycling and Recovery,3970,0.004,1.587,0,0,0.324,1.644,0,0
2021-22,Environmental Protection,Department of Toxic Substances Control,3960,0.389,0.39,0,0.036,0.147,0.234,0,0.033
2021-22,Environmental Protection,Department of Pesticide Regulation,3930,0.02,0.117,0,0.002,0.004,0.117,0,0.003
2021-22,Environmental Protection,Environmental Health Hazard Assessment,3980,0.008,0.019,0,0,0.007,0.018,0,0
2021-22,Environmental Protection,"Environmental Protection, Secy",0555,0.008,0.016,0,0,0.007,0.014,0,0
2021-22,General Government,,,0.972,4.039,0.003,1.977,7.171,1.139,0.006,0.576
2021-22,General Government,Shared Revenues,9350,0,2.924,0,0.029,,,,
2021-22,General Government,Public Utilities Commission,8660,0.074,1.609,0,1.084,,,,
2021-22,General Government,"Health, Dental Benefits for Annuitants",9650,2.335,0,0,0,,,,
2021-22,General Government,Augmentation for Employee Compensation,9800,1.069,0.642,0,0,,,,
2021-22,General Government,Department of Food and Agriculture,8570,0.475,0.21,0.002,0.118,,,,
2021-22,General Government,Local Government Financing,9210,0.186,0,0,0.609,,,,
2021-22,General Government,Department of Veterans Affairs,8955,0.543,0.003,0,0.011,,,,
2021-22,General Government,Tax Relief,9100,0.415,0.004,0,0,,,,
2021-22,General Government,Military Department,8940,0.126,0.002,0,0.122,,,,
2021-22,General Government,Arts Council,8260,0.129,0.002,0,0.001,,,,
2021-22,General Government,Commission on State Mandates,8885,0.048,0.002,0,0,,,,
2021-22,General Government,Department of Finance,8860,0.045,0,0,0.003,,,,
2021-22,General Government,Financial Information System for CA,8880,0.048,0,0,0,,,,
2021-22,General Government,Debt Service GO Bonds Commercial Paper,9600,0.044,0,0,0,,,,
2021-22,General Government,"Peace Officer Standards, Training Comm",8120,0.035,0,0,0,,,,
2021-22,General Government,Contingencies-Emergencies Augmentation,9840,0.02,0.015,0,0,,,,
2021-22,General Government,California State Auditor's Office,8855,0.025,0,0,0,,,,
2021-22,General Government,Cash Management and Budgetary Loans,9620,0.02,0,0,0,,,,
2021-22,General Government,State Public Defender,8140,0.019,0,0,0,,,,
2021-22,General Government,Interest Payments to the Federal Govt,9625,0.015,0.001,0,0,,,,
2021-22,General Government,Fair Political Practices Commission,8620,0.015,0,0,0,,,,
2021-22,General Government,Trial Court Security-Court Construction,9285,0.007,0,0,0,,,,
2021-22,General Government,Trial Court Security - Judgeships,9286,0.004,0,0,0,,,,
2021-22,General Government,Political Reform Act of 1974,8640,0.003,0,0,0,,,,
2021-22,General Government,Comm on Asian & Pacf Islndr Amer Affairs,8825,0.002,0,0,0,,,,
2021-22,General Government,Milton Marks Little Hoover Commission,8780,0.001,0,0,0,,,,
2021-22,General Government,Comm on the Status of Women and Girls,8820,0.001,0,0,0,,,,
2021-22,General Government,Citizens Compensation Commission,8385,0,0,0,0,,,,
2021-22,General Government,Payment to Counties for Homicide Trials,9300,0,0,0,0,,,,
2021-22,General Government,Enhanced Tobacco Asset-Backed Bonds,9612,0,0,0,0,,,,
2021-22,General Government,Historic State Capitol Commission,8270,0,0,0,0,,,,
2021-22,General Government,State Compensation Insurance Fund,8420,0,0,0,0,,,,
2021-22,General Government,Law Revision Commission,8830,0,0,0,0,,,,
2021-22,General Government,Lease-Rev Notes and Bonds,9610,0,0,0,0,,,,
2021-22,General Government,Budget Stabilization Account,9658,0,0,0,0,,,,
2021-22,General Government,Equity Claims & Settlements & Judgments,9670,0,0,0,0,,,,
2021-22,General Government,"Capital Outlay Planning, Studies",9860,0,0,0,0,,,,
2021-22,General Government,Reserve for Liquidation of Encumbrances,9885,0,0,0,0,,,,
2021-22,General Government,Public School System Stabilization Acct,9889,2.617,-2.617,0,0,,,,
2021-22,General Government,Statewide General Admin Exp (Pro Rata),9900,-0.901,0.814,0.001,0,,,,
2022-23,Health and Human Services,,,68.047,33.304,0,105.619,55.01,31.635,0,106.524
2022-23,Health and Human Services,State Department of Health Care Services,4260,37.333,13.515,0,89.68,,,,
2022-23,Health and Human Services,Department of Social Services,5180,17.167,0.232,0,12.292,,,,
2022-23,Health and Human Services,Department of Developmental Services,4300,7.676,0.392,0,0.057,,,,
2022-23,Health and Human Services,"State-Local Realignment, 1991",5195,0,7.288,0,0,,,,
2022-23,Health and Human Services,"State-Local Realignment, 2011",5196,0.016,6.583,0,0,,,,
2022-23,Health and Human Services,Department of Public Health,4265,1.205,3.022,0,1.669,,,,
2022-23,Health and Human Services,Department of State Hospitals,4440,2.891,0.083,0,0,,,,
2022-23,Health and Human Services,Community Services and Development,4700,0.025,1.2,0,0.613,,,,
2022-23,Health and Human Services,Department of Child Support Services,5175,0.365,0,0,0.692,,,,
2022-23,Health and Human Services,Dept Health Care Access and Information,4140,0.717,0.131,0,0.003,,,,
2022-23,Health and Human Services,Department of Rehabilitation,5160,0.09,0.004,0,0.414,,,,
2022-23,Health and Human Services,California Department of Aging,4170,0.283,0.005,0,0.171,,,,
2022-23,Health and Human Services,Children and Families Commission,4250,0,0.342,0,0,,,,
2022-23,Health and Human Services,California Health Benefit Exchange,4800,0.02,0.304,0,0,,,,
2022-23,Health and Human Services,"Health, Human Services Agency, Secy",0530,0.122,0.002,0,0.013,0.12,0.002,0,0.013
2022-23,Health and Human Services,Department of Managed Health Care,4150,0,0.126,0,0,,,,
2022-23,Health and Human Services,Mental Hlth Svcs Ovrst and Acntblty Comm,4560,0,0.069,0,0,,,,
2022-23,Health and Human Services,Emergency Medical Services Authority,4120,0.045,0.006,0,0.004,,,,
2022-23,Health and Human Services,State Council-Developmental Disabilities,4100,0,0,0,0.009,,,,
2022-23,Health and Human Services,Commission on Aging,4180,0,0,0,0.001,,,,
2022-23,Health and Human Services,California Senior Legislature,4185,0,0,0,0,,,,
2022-23,Health and Human Services,State Independent Living Council,5170,0,0,0,0,,,,
2022-23,K thru 12 Education,,,78.407,0.339,1.488,10.941,69.36,0.264,0.99,7.314
2022-23,K thru 12 Education,Department of Education,6100,72.012,0.089,0.004,10.923,61.208,0.112,0.003,7.299
2022-23,K thru 12 Education,Teachers Retirement System Contributions,6300,3.712,0,0,0,3.712,0,0,0
2022-23,K thru 12 Education,School Facilities Aid Program,6350,0,0.225,1.484,0,1.334,0.124,0.987,0
2022-23,K thru 12 Education,State Library,6120,0.202,0.001,0,0.018,0.491,0.001,0,0.016
2022-23,K thru 12 Education,Scholarshare Investment Board,0954,0.202,0,0,0,0.154,0,0,0
2022-23,K thru 12 Education,Commission on Teacher Credentialing,6360,0.048,0.024,0,0,0.046,0.027,0,0
2022-23,K thru 12 Education,Summer School for the Arts,6255,0.003,0,0,0,0.002,0,0,0
2022-23,K thru 12 Education,Education Audit Appeals Panel,6125,0.001,0,0,0,0.001,0,0,0
2022-23,Higher Education,,,23.619,0.131,1.09,6.438,20.218,0.086,0.81,6.701
2022-23,Higher Education,University of California,6440,5.125,0.125,0,4.718,4.902,0.081,0,5.028
2022-23,Higher Education,Board of Governors of Community Colleges,6870,9,0.003,0.74,0,7.134,0.003,0.351,0.15
2022-23,Higher Education,California State University,6610,5.155,0.003,0,1.721,4.935,0.002,0,1.523
2022-23,Higher Education,Student Aid Commission,6980,3.152,0,0,0,2.396,0,0,0
2022-23,Higher Education,"CSU Health Benefits, Retired Annuitants",6645,0.408,0,0,0,0.374,0,0,0
2022-23,Higher Education,Institute for Regenerative Medicine,6445,0,0.001,0.338,0,0,0,0.448,0
2022-23,Higher Education,Hastings College of the Law,6600,0.113,0,0,0,0.113,0,0,0
2022-23,Transportation,,,1.875,17.61,0.095,8.753,1.317,14.105,0.132,6.125
2022-23,Transportation,Department of Transportation,2660,0.478,9.148,0.059,8.602,0.73,7.307,0.094,5.931
2022-23,Transportation,Dept of the California Highway Patrol,2720,0.23,2.799,0,0.023,0.02,2.9,0,0.03
2022-23,Transportation,Department of Motor Vehicles,2740,0.223,1.396,0,0.001,0.217,1.38,0,0
2022-23,Transportation,State Transit Assistance,2640,0,1.307,0,0,0,1.342,0,0
2022-23,Transportation,High-Speed Rail Authority,2665,0,1.232,0.033,0,0,-0.281,0.038,0.049
2022-23,Transportation,"Transportation, Secy",0521,0.6,0.308,0,0.127,0.022,0.081,0,0.115
2022-23,Transportation,California Transportation Commission,2600,0.001,0.009,0.004,0,0.001,0.008,0,0
2022-23,Transportation,Board of Pilot Commissioners,2670,0,0.003,0,0,0,0.003,0,0
2022-23,General Government,,,15.022,5.095,0.002,0.301,3.75,5.661,0.003,0.478
2022-23,General Government,Shared Revenues,9350,0,3.315,0,0.026,,,,
2022-23,General Government,"Health, Dental Benefits for Annuitants",9650,2.302,0,0,0,,,,
2022-23,General Government,Public Utilities Commission,8660,0.25,1.566,0,0.011,,,,
2022-23,General Government,Augmentation for Employee Compensation,9800,0.563,0.36,0,0,,,,
2022-23,General Government,Department of Food and Agriculture,8570,0.517,0.215,0.002,0.129,,,,
2022-23,General Government,Department of Veterans Affairs,8955,0.639,0.003,0,0.003,,,,
2022-23,General Government,Military Department,8940,0.31,0.002,0,0.126,,,,
2022-23,General Government,Tax Relief,9100,0.415,0.004,0,0,,,,
2022-23,General Government,Local Government Financing,9210,0.234,0,0,0,,,,
2022-23,General Government,Arts Council,8260,0.091,0.005,0,0.003,,,,
2022-23,General Government,Financial Information System for CA,8880,0.078,0,0,0,,,,
2022-23,General Government,Commission on State Mandates,8885,0.07,0.002,0,0,,,,
2022-23,General Government,"Peace Officer Standards, Training Comm",8120,0.063,0,0,0,,,,
2022-23,General Government,Debt Service GO Bonds Commercial Paper,9600,0.061,0,0,0,,,,
2022-23,General Government,Department of Finance,8860,0.053,0,0,0.003,,,,
2022-23,General Government,Contingencies-Emergencies Augmentation,9840,0.04,0.015,0,0,,,,
2022-23,General Government,California State Auditor's Office,8855,0.027,0,0,0,,,,
2022-23,General Government,Cash Management and Budgetary Loans,9620,0.027,0,0,0,,,,
2022-23,General Government,State Public Defender,8140,0.021,0,0,0,,,,
2022-23,General Government,Fair Political Practices Commission,8620,0.015,0,0,0,,,,
2022-23,General Government,Trial Court Security-Court Construction,9285,0.011,0,0,0,,,,
2022-23,General Government,Comm on the Status of Women and Girls,8820,0.009,0,0,0,,,,
2022-23,General Government,Trial Court Security - Judgeships,9286,0.007,0,0,0,,,,
2022-23,General Government,Interest Payments to the Federal Govt,9625,0.004,0.001,0,0,,,,
2022-23,General Government,Political Reform Act of 1974,8640,0.003,0,0,0,,,,
2022-23,General Government,"Capital Outlay Planning, Studies",9860,0.002,0,0,0,,,,
2022-23,General Government,Youth Empowerment Commission,8815,0.002,0,0,0,,,,
2022-23,General Government,Milton Marks Little Hoover Commission,8780,0.001,0,0,0,,,,
